Name	Set	ImageFile	Number	Rarity	Type	Health	Attack	Build	Material	W	S	C	Card-Effect|Attack-Name	Flavor-Text	Alt-Art	Foil	Artist	Numeric	Odds	Slot
THE BEAVLES.11	PREORDER	0011-Alt.png	11	R	ENGINEER	70	30	1	WOOD	1	-	-	LET IT BE-AVER	THE BEAVLES PERFORMING THEIR LEGENDARY SET ON A ROOFTOP TERRACE IN THE TIMBERBORNERS.	1	1	LUIGRA	5	98	345
SPACE ENGINEER.33	PREORDER	0033-Alt.png	33	C	ENGINEER	50	20	2	STEEL	-	2	-	LAUNCH	AN ENGINEER CAPABLE OF BUILDING A ROCKET THAT CAN LAUNCH AROUND CORNERS. ALL HAIL THE RCE SPACE AGENCY!	1	1	MARBLEGROVES	5	98	1267
DORIS.35	PREORDER	0035-Alt.png	35	U	ENGINEER	40	40	1	CONCRETE	-	-	1	HEARTBREAK	THE RECEPTIONIST AT MATT'S OLD ENGINEERING FIRM WILL ALWAYS BE THE ONE THAT GOT AWAY…	1	1	PAM	5	98	346
ROADNATO.58	PREORDER	0058-Blue.png	58	Rb	OBJECTIVE	90	-	3	-	2	1	0	-	SOME DESCRIBED THIS AS ARCHITECTURE. BUT IT ACTUALLY ALLOWED A SUFFICIENTLY LONG JOURNEY FOR THE G-WAGONS TO REACH THEIR DESTINATIONS TO GET IT READY FOR THE NEW ARRIVALS.	-	1	SARAHBOODLE	5	98	345
MATT, DESTROYER OF ARCHITECTS.69	PREORDER	0069-Blue.png	69	Rb	ENGINEER	69	69	2	WOOD	1	-	-	NOICE! *FLIP A COIN AND DISCARD THIS ENGINEER CARD IF UNSUCCESSFUL (NOT NOICE).	THE 69TH CARD! CLICK, NOICE! EARLY ESTIMATES SHOW THAT MATT HAS HELPED DESTROY AROUND 69% OF ARCHITECTS IN THE WORLD. A TRUE HERO.	-	1	SARAHBOODLE	5	98	345
REAL CIVIL ARCHITECT.75	PREORDER	0075-Alt.png	75	U	ARCHITECT	-	-	-	-	-	-	-	DISCARD ONE OPPOSING IN-PLAY ENGINEER CARD, AND ALL ITEMS IT IS HOLDING.	RCE'S MAIN RIVAL. NO, IT'S NOT TYLER, IT'S MUCH WORSE!	1	1	OXI	5	98	346
MATT AND PADDY.100	PREORDER	0100-Blue.png	100	Rb	ENGINEER	90	10	3	STEEL	-	-	-	BEST FRIENDS	THE ULTIMATE COMBO, THOUGH EVERYONE KNOWS PADDY PROVIDES THE BRAINS BEHIND THE TEAM (MATT JUST PROVIDES THE LOOKS… AND HUMOR, AND INTEGRITY, AND MODESTY!)	-	1	SARAHBOODLE	5	98	345
MATT AND PADDY.100	PREORDER	0100-Alt.png	100	R	ENGINEER	90	10	3	STEEL	-	-	-	BEST FRIENDS	THE ULTIMATE COMBO, THOUGH EVERYONE KNOWS PADDY PROVIDES THE BRAINS BEHIND THE TEAM (MATT JUST PROVIDES THE LOOKS… AND HUMOR, AND INTEGRITY, AND MODESTY!)	1	1	MARBLEGROVES	5	98	345
MATT.0	PROMO	0000-Foil.png	0	G	ENGINEER	69	69	5	GOLD	-	-	-	OOO SHINY	SIGNED BY THE REAL CIVIL ENGINEER HIMSELF. THIS SPECIAL CARD CELEBRATES 5 YEARS OF VIDEOS OF CRUCIAL ENGINEERING KNOWLEDGE THAT CAN ONLY USUALLY BE GAINED WITH DECADES FO EXPERIENCE - LIKE THE ACTUAL STRONGEST SHAPE AND THE DANGERS OF ARCHITECTS!	-	1	SEVENCHI	6	99	5
MATT.1	PRIME	0001.png	1	B	ENGINEER	69	30	2	CONCRETE	-	-	2	NOICE!	MATT ALWAYS PICKS THE RAREST UPGRADE AND THIS IS ONE OF THE RAREST CARDS IN THE COLLECTION, THE BLUEPRINT OF 5 YEARS OF CONTENT.	-	-	SARAHBOODLE	4	94	5
